poiId=144669, dealId=17343837
poiId=1460045, dealId=30849733
poiId=1460583, dealId=12037063
poiId=1460583, dealId=31089516
poiId=1462428, dealId=2053765
poiId=1463708, dealId=20684105
poiId=1463708, dealId=30018164
poiId=1463708, dealId=30018314
poiId=1463708, dealId=30018351
poiId=1472366, dealId=14749063
poiId=1472366, dealId=14749130
poiId=1472366, dealId=30096435
poiId=1473306, dealId=2270530
poiId=1473591, dealId=21880397
poiId=147743, dealId=19674229
poiId=147743, dealId=19674232
poiId=147743, dealId=19674921
poiId=147743, dealId=21395319
poiId=147743, dealId=21403033
poiId=147743, dealId=21403042
poiId=147743, dealId=21751708
poiId=147743, dealId=22527799
poiId=147743, dealId=24936819
poiId=147743, dealId=24936821
poiId=147743, dealId=30031778
poiId=147743, dealId=31852847
poiId=1480096, dealId=31124287
poiId=1480096, dealId=31124289
poiId=1482062, dealId=32402255
poiId=1482062, dealId=32402507
poiId=1482502, dealId=11478029
poiId=1482525, dealId=12414533
poiId=1482525, dealId=5978053
poiId=1482880, dealId=11547721
poiId=1483295, dealId=30393418
poiId=1483941, dealId=32402255
poiId=1483941, dealId=32402507
poiId=1485000, dealId=21478121
poiId=1485000, dealId=21478122
poiId=1485000, dealId=21478123
poiId=1485000, dealId=21478124
poiId=1485000, dealId=21478126
poiId=1485000, dealId=32336719
poiId=1487514, dealId=16617247
poiId=1487514, dealId=16717525
poiId=1487514, dealId=19115300
poiId=1487551, dealId=12043534
poiId=1488026, dealId=17334074
poiId=1488643, dealId=17658191
poiId=1488643, dealId=21819327
poiId=1510063, dealId=24913996
poiId=15297, dealId=31167251
poiId=15297, dealId=31647643
poiId=15297, dealId=31647852
poiId=15297, dealId=31694435
poiId=15997, dealId=22279592
poiId=16035, dealId=31600602
poiId=16223, dealId=11450441
poiId=1647566, dealId=30839250
poiId=1647677, dealId=2818046
poiId=1653, dealId=10327103
poiId=1653, dealId=10418794
poiId=1654, dealId=22526854
poiId=1654, dealId=22526884
poiId=1654, dealId=30440475
poiId=1654, dealId=31491205
poiId=16577, dealId=18222356
poiId=16577, dealId=19105152
poiId=1658, dealId=10327103
poiId=16584, dealId=22598611
poiId=16588, dealId=19704122
poiId=16588, dealId=22485016
poiId=16588, dealId=30668870
poiId=16588, dealId=31469738
poiId=16588, dealId=31862578
poiId=16588, dealId=31862856
poiId=16588, dealId=32356619
poiId=16590, dealId=12751357
poiId=16590, dealId=17425487
poiId=16590, dealId=31835367
poiId=16590, dealId=31835413
poiId=16590, dealId=31835510
poiId=16590, dealId=32340800
poiId=16656, dealId=18247633
poiId=16656, dealId=18247634
poiId=16656, dealId=18253591
poiId=16656, dealId=21817339
poiId=16656, dealId=21817611
poiId=1673197, dealId=24547019
poiId=1674081, dealId=21428849
poiId=1674081, dealId=21532500
poiId=1674756, dealId=21428849
poiId=1674756, dealId=21532500
poiId=1675640, dealId=31325753
poiId=1679118, dealId=15242743
poiId=1679185, dealId=30009075
poiId=1682056, dealId=18247633
poiId=1682056, dealId=18247634
poiId=1682056, dealId=18253591
poiId=1682056, dealId=21817339
poiId=1682056, dealId=21817611
poiId=16832, dealId=24802613
poiId=1685044, dealId=20550097
poiId=16920, dealId=17343837
poiId=1695681, dealId=30793406
poiId=1695681, dealId=30793407
poiId=1696501, dealId=20884563
poiId=1696842, dealId=11629227
poiId=1696842, dealId=15021496
poiId=1696842, dealId=15021519
poiId=1696842, dealId=15088708
poiId=1696842, dealId=18382347
poiId=1696842, dealId=18382387
poiId=1696842, dealId=18382589
poiId=1696842, dealId=18699024
poiId=1696942, dealId=11352717
poiId=1696942, dealId=17651773
poiId=1696942, dealId=19775676
poiId=1697161, dealId=22451872
